"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11"
6310,"ATXN1","hsa-mir-17-5p","hsa-mir-296-5p",0.0075,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30733641'>PubMedLink</a>","mirtarbase tarbase","tarbase","hsa-mir-296-5p","hsa-mir-17-5p",6310,16.430540230331,16.3615587558062,"15.8662937891316","""""","""""","""""","""""","""""",""""""
6310,"ATXN1","hsa-mir-625-5p","hsa-mir-148a-3p",0,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30733641'>PubMedLink</a>","tarbase","tarbase","hsa-mir-148a-3p","hsa-mir-625-5p",6310,15.3881866510883,16.3615587558062,"16.4792359998534","""""","""""","""""","""""","""""",""""""
6319,"SCD","hsa-mir-3136-5p","hsa-mir-940",0.004,FALSE,NA,NA,NA,"mirtarbase","tarbase","hsa-mir-940","hsa-mir-3136-5p",6319,20.4606285726769,19.4568620321739,"19.5767102014267","19.5488730418011","""""","""""","""""","""""",""""""
6541,"SLC7A1","hsa-mir-505-5p","hsa-mir-181d-5p",0.001,FALSE,NA,NA,NA,"tarbase","mirtarbase","hsa-mir-181d-5p","hsa-mir-505-5p",6541,15.8867309917242,18.0648324036494,"17.542922511319","19.0763498914037","19.3002085729414","18.1505791679001","18.170820393602","""""",""""""
6645,"SNTB2","hsa-mir-30b-3p","hsa-mir-182-5p",0.0025,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-182-5p","hsa-mir-30b-3p",6645,15.12884382258,16.2391093054,"15.73653339088","16.2789962946234","15.9462500043271","""""","""""","""""",""""""
6648,"SOD2","hsa-mir-181c-3p","hsa-mir-2116-3p",0.008,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/12580960'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16081686'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16543247'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31652453'>PubMedLink</a>","mirtarbase","mirtarbase","hsa-mir-2116-3p","hsa-mir-181c-3p",6648,20.2156852293633,19.518558782229,"21.2240238753139","19.6931193985607","21.0268503844977","20.9600472523915","20.21791191199","""""",""""""
6648,"SOD2","hsa-mir-183-5p","hsa-mir-331-3p",0.0065,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/12580960'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16081686'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16543247'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31652453'>PubMedLink</a>","tarbase","tarbase","hsa-mir-331-3p","hsa-mir-183-5p",6648,20.2226191580835,21.2240238753139,"21.0268503844977","20.9600472523915","""""","""""","""""","""""",""""""
6648,"SOD2","hsa-mir-183-5p","hsa-mir-331-5p",0.005,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/12580960'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16081686'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16543247'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31652453'>PubMedLink</a>","tarbase","mirtarbase","hsa-mir-331-5p","hsa-mir-183-5p",6648,20.5324020891572,20.2226191580835,"20.897621696826","21.0268503844977","20.9600472523915","""""","""""","""""",""""""
6648,"SOD2","hsa-mir-28-3p","hsa-mir-2116-3p",0.004,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/12580960'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16081686'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16543247'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31652453'>PubMedLink</a>","tarbase","mirtarbase","hsa-mir-2116-3p","hsa-mir-28-3p",6648,19.518558782229,21.2240238753139,"19.6931193985607","21.0268503844977","20.9600472523915","""""","""""","""""",""""""
6648,"SOD2","hsa-mir-342-3p","hsa-mir-150-3p",0.004,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/12580960'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16081686'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16543247'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31652453'>PubMedLink</a>","mirtarbase","mirtarbase","hsa-mir-150-3p","hsa-mir-342-3p",6648,20.2156852293633,20.0934585902901,"20.0360973618111","19.6931193985607","21.0268503844977","19.3050924193347","""""","""""",""""""
6648,"SOD2","hsa-mir-409-5p","hsa-mir-183-5p",0,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/12580960'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16081686'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16543247'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31652453'>PubMedLink</a>","mirtarbase","tarbase","hsa-mir-183-5p","hsa-mir-409-5p",6648,18.8088338021322,21.2240238753139,"20.897621696826","20.9600472523915","""""","""""","""""","""""",""""""
6648,"SOD2","hsa-mir-432-5p","hsa-mir-410-3p",0.009,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/12580960'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16081686'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16543247'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31652453'>PubMedLink</a>","tarbase","mirtarbase","hsa-mir-410-3p","hsa-mir-432-5p",6648,20.5324020891572,20.2226191580835,"20.897621696826","20.9600472523915","20.950231983512","""""","""""","""""",""""""
7009,"TMBIM6","hsa-mir-146b-5p","hsa-mir-7-5p",0.006,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30735101'>PubMedLink</a>","tarbase","tarbase","hsa-mir-7-5p","hsa-mir-146b-5p",7009,21.7596923536769,21.8505420576107,"21.8382214130724","""""","""""","""""","""""","""""",""""""
7048,"TGFBR2","hsa-mir-940","hsa-mir-409-3p",0.002,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/10811940'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17339425'>PubMedLink</a>","mirtarbase tarbase","mirtarbase","hsa-mir-409-3p","hsa-mir-940",7048,19.2583286750561,19.5265784598202,"18.7608751475864","""""","""""","""""","""""","""""",""""""
7049,"TGFBR3","hsa-mir-17-5p","hsa-mir-130b-5p",0.0095,FALSE,NA,NA,NA,"tarbase","mirtarbase","hsa-mir-130b-5p","hsa-mir-17-5p",7049,14.460414467713,14.1187710685934,"13.1930238345647","14.7016659887772","13.1062460626539","""""","""""","""""",""""""
7050,"TGIF1","hsa-mir-150-5p","hsa-mir-181a-2-3p",0.002,TRUE,NA,NA,NA,"tarbase","tarbase","hsa-mir-181a-2-3p","hsa-mir-150-5p",7050,18.432921809795,18.2270646206341,"18.0242398362337","16.5168331935708","""""","""""","""""","""""",""""""
7071,"KLF10","hsa-mir-296-5p","hsa-mir-17-5p",0.0095,TRUE,NA,NA,NA,"tarbase","mirtarbase tarbase","hsa-mir-17-5p","hsa-mir-296-5p",7071,19.2483547749844,18.1666546178126,"19.1040238486683","""""","""""","""""","""""","""""",""""""
7171,"TPM4","hsa-mir-138-5p","hsa-mir-30b-5p",0.0035,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-30b-5p","hsa-mir-138-5p",7171,20.6662738690249,19.7728624923455,"21.1789960929758","""""","""""","""""","""""","""""",""""""
7185,"TRAF1","hsa-mir-214-3p","hsa-mir-136-3p",0.009,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29541244'>PubMedLink</a>","mirtarbase","mirtarbase","hsa-mir-136-3p","hsa-mir-214-3p",7185,19.0126290434475,20.9540291236927,"20.7946322526802","18.469038158371","20.1647423780523","21.8533950089305","""""","""""",""""""
7227,"TRPS1","hsa-mir-1306-3p","hsa-mir-760",0.005,TRUE,NA,NA,NA,"tarbase","mirtarbase","hsa-mir-760","hsa-mir-1306-3p",7227,14.7286793698886,13.904411410636,"14.11342311414","14.9101953171871","15.4613974097997","""""","""""","""""",""""""
7227,"TRPS1","hsa-mir-30b-5p","hsa-mir-183-5p",0.002,TRUE,NA,NA,NA,"tarbase","tarbase","hsa-mir-183-5p","hsa-mir-30b-5p",7227,14.5311174725826,15.3870827025876,"14.3193353845756","15.0521700501042","""""","""""","""""","""""",""""""
7514,"XPO1","hsa-mir-342-3p","hsa-mir-664a-3p",0.004,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/27312795'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27312795'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27312795'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27479820'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28196522'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28196522'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29501729'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30211726'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31125526'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31789821'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31789821'>PubMedLink</a>","tarbase","tarbase","hsa-mir-664a-3p","hsa-mir-342-3p",7514,19.2479180111737,20.0110550282558,"19.4305262032918","19.3070800417373","19.9577644474953","""""","""""","""""",""""""
7704,"ZBTB16","hsa-mir-424-5p","hsa-mir-301b-3p",0.002,TRUE,NA,NA,NA,"mirtarbase","mirtarbase","hsa-mir-301b-3p","hsa-mir-424-5p",7704,10.2383697666836,8.62139771538877,"11.2397706639891","9.67208526317061","""""","""""","""""","""""",""""""
7779,"SLC30A1","hsa-mir-331-5p","hsa-mir-30b-5p",0.0055,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-30b-5p","hsa-mir-331-5p",7779,16.3469911569721,17.1328292522292,"17.3779124925682","17.0330309578234","16.8792049404309","""""","""""","""""",""""""
7813,"EVI5","hsa-mir-200c-3p","hsa-mir-944",0.001,FALSE,NA,NA,NA,"tarbase","mirtarbase","hsa-mir-944","hsa-mir-200c-3p",7813,15.1442393714714,15.5296968881241,"14.3760226926626","15.5083954277434","""""","""""","""""","""""",""""""
8139,"GAN","hsa-mir-141-5p","hsa-mir-582-3p",0.0075,FALSE,NA,NA,NA,"mirtarbase","mirtarbase","hsa-mir-582-3p","hsa-mir-141-5p",8139,13.8578913717256,14.0755686874886,"14.2272315824522","14.3094334017673","""""","""""","""""","""""",""""""
8140,"SLC7A5","hsa-mir-491-5p","hsa-mir-181a-2-3p",0,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30891680'>PubMedLink</a>","tarbase","mirtarbase tarbase","hsa-mir-181a-2-3p","hsa-mir-491-5p",8140,18.9554635978737,19.8447933361063,"19.314450770994","19.0804744560366","""""","""""","""""","""""",""""""
8462,"KLF11","hsa-mir-18a-3p","hsa-mir-17-5p",0.0025,TRUE,NA,NA,NA,"tarbase","tarbase","hsa-mir-17-5p","hsa-mir-18a-3p",8462,16.1819624037552,15.1815206007832,"15.6681042293383","17.2042621422375","16.0496976253688","15.8599507145518","""""","""""",""""""
8516,"ITGA8","hsa-mir-221-3p","hsa-mir-96-5p",0.001,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-96-5p","hsa-mir-221-3p",8516,11.1014547658092,11.6743012869633,"11.5479610957414","""""","""""","""""","""""","""""",""""""
8614,"STC2","hsa-mir-769-3p","hsa-mir-219a-1-3p",0.0065,FALSE,NA,NA,NA,"mirtarbase","mirtarbase","hsa-mir-219a-1-3p","hsa-mir-769-3p",8614,14.1277501702662,14.4329292514555,"14.4749219637316","12.8672542597436","""""","""""","""""","""""",""""""
8729,"GBF1","hsa-mir-181a-2-3p","hsa-mir-335-5p",0.0075,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-335-5p","hsa-mir-181a-2-3p",8729,18.5289835047642,18.5674630779259,"""""","""""","""""","""""","""""","""""",""""""
8826,"IQGAP1","hsa-mir-204-5p","hsa-mir-9-5p",0.0045,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-9-5p","hsa-mir-204-5p",8826,20.1283695901006,19.8111586400149,"""""","""""","""""","""""","""""","""""",""""""
8878,"SQSTM1","hsa-mir-200c-3p","hsa-mir-146b-5p",0.001,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/23588372'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23588372'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29328391'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29556265'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30133324'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31849486'>PubMedLink</a>","tarbase","mirtarbase tarbase","hsa-mir-146b-5p","hsa-mir-200c-3p",8878,20.2457799717317,20.4824535371673,"19.7021846892852","19.1607595485251","19.9247955636339","""""","""""","""""",""""""
9021,"SOCS3","hsa-mir-138-5p","hsa-mir-30b-5p",0.0015,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/16831601'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22820139'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22820139'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22820139'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28605567'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29228427'>PubMedLink</a>","tarbase","mirtarbase tarbase","hsa-mir-30b-5p","hsa-mir-138-5p",9021,20.6197315216826,19.0875115853286,"20.5233420717034","""""","""""","""""","""""","""""",""""""
9188,"DDX21","hsa-mir-181a-2-3p","hsa-mir-940",0.0025,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-940","hsa-mir-181a-2-3p",9188,20.1728583068167,21.3024436079869,"19.6116473230788","19.4821578082109","""""","""""","""""","""""",""""""
9334,"B4GALT5","hsa-mir-181a-2-3p","hsa-mir-183-5p",0.007,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-183-5p","hsa-mir-181a-2-3p",9334,18.923183090082,18.8895230208156,"19.2307008623743","18.8872549685061","19.0953412607717","""""","""""","""""",""""""
9444,"QKI","hsa-mir-138-5p","hsa-mir-150-3p",0.001,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-150-3p","hsa-mir-138-5p",9444,17.2647447010081,17.1133467916469,"17.1348327816841","16.6966966570707","""""","""""","""""","""""",""""""
9444,"QKI","hsa-mir-30b-5p","hsa-mir-331-5p",0.007,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-331-5p","hsa-mir-30b-5p",9444,16.5306574474939,17.1133467916469,"17.2084661119545","16.6966966570707","17.0704056480708","""""","""""","""""",""""""
9510,"ADAMTS1","hsa-mir-664a-5p","hsa-mir-664a-3p",0.003,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-664a-3p","hsa-mir-664a-5p",9510,15.5254802141386,16.2995585818145,"16.7316933420155","16.0568449796247","15.9353155570814","15.2707640670029","17.4873328034048","14.6216529548119",""""""
9578,"CDC42BPB","hsa-mir-136-5p","hsa-mir-214-3p",0.009,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/21471979'>PubMedLink</a>","tarbase","tarbase","hsa-mir-214-3p","hsa-mir-136-5p",9578,16.7327151046422,17.0832997649066,"15.9437629665886","16.3509671486412","17.3412877564797","16.8268628032571","18.0962417896294","""""",""""""
9659,"PDE4DIP","hsa-mir-30d-5p","hsa-mir-1270",0.0025,FALSE,NA,NA,NA,"tarbase","mirtarbase","hsa-mir-1270","hsa-mir-30d-5p",9659,15.7722884451524,17.0399585123653,"15.5691428791335","15.6583169442623","""""","""""","""""","""""",""""""
9659,"PDE4DIP","hsa-mir-363-3p","hsa-mir-7-5p",0.0015,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-7-5p","hsa-mir-363-3p",9659,16.7020747547185,16.5233393611465,"16.4830132539761","""""","""""","""""","""""","""""",""""""
9690,"UBE3C","hsa-mir-181a-2-3p","hsa-mir-181d-5p",0.003,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-181d-5p","hsa-mir-181a-2-3p",9690,18.0596589941275,18.2885704921756,"18.103566085525","17.6251743985112","16.3142202247322","""""","""""","""""",""""""
9908,"G3BP2","hsa-mir-181a-2-3p","hsa-mir-181c-3p",0.003,FALSE,NA,NA,NA,"tarbase","mirtarbase","hsa-mir-181c-3p","hsa-mir-181a-2-3p",9908,19.09055520284,19.2856371776356,"19.1927975399464","19.2522076141948","18.7730455538687","18.8411157910325","18.2137403824946","19.1110656288102",""""""
9990,"SLC12A6","hsa-mir-30b-3p","hsa-mir-30d-5p",0.0045,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-30d-5p","hsa-mir-30b-3p",9990,13.3356841685333,16.4522791903623,"17.0987021980149","14.6378400400802","14.9916743888485","17.0204661981088","""""","""""",""""""
9991,"PTBP3","hsa-mir-129-5p","hsa-mir-181d-5p",0.0045,FALSE,NA,NA,NA,"tarbase","mirtarbase","hsa-mir-181d-5p","hsa-mir-129-5p",9991,18.1463714457841,19.1785523550076,"19.1966911365284","19.2994956287179","18.5487925642244","""""","""""","""""",""""""
9991,"PTBP3","hsa-mir-9-5p","hsa-mir-181d-5p",0.0025,FALSE,NA,NA,NA,"tarbase","mirtarbase","hsa-mir-181d-5p","hsa-mir-9-5p",9991,19.1966911365284,19.2994956287179,"""""","""""","""""","""""","""""","""""",""""""
10020,"GNE","hsa-mir-411-5p","hsa-mir-18b-5p",0.002,FALSE,NA,NA,NA,"mirtarbase","tarbase","hsa-mir-18b-5p","hsa-mir-411-5p",10020,17.7342029980322,17.252226859404,"18.7220407463526","16.7619789002766","""""","""""","""""","""""",""""""
10123,"ARL4C","hsa-mir-296-5p","hsa-mir-454-5p",0.006,FALSE,NA,NA,NA,"mirtarbase","mirtarbase","hsa-mir-454-5p","hsa-mir-296-5p",10123,18.4242711773846,19.3611983783468,"19.0542250881775","19.0627570781059","""""","""""","""""","""""",""""""
10133,"OPTN","hsa-mir-9-5p","hsa-mir-148a-3p",0.0015,FALSE,NA,NA,NA,"mirtarbase tarbase","tarbase","hsa-mir-148a-3p","hsa-mir-9-5p",10133,19.5887732411883,19.2669577599011,"20.7333536089286","""""","""""","""""","""""","""""",""""""
10146,"G3BP1","hsa-mir-9-5p","hsa-mir-181d-5p",0.005,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-181d-5p","hsa-mir-9-5p",10146,19.476558867792,19.5720298635873,"""""","""""","""""","""""","""""","""""",""""""
10370,"CITED2","hsa-mir-143-5p","hsa-mir-18a-3p",0.006,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-18a-3p","hsa-mir-143-5p",10370,18.4686994793856,18.8021902601868,"18.4136560653975","18.6458592139103","18.2646578410277","""""","""""","""""",""""""
10643,"IGF2BP3","hsa-mir-181d-5p","hsa-mir-9-5p",0.009,FALSE,NA,NA,NA,"tarbase","mirtarbase","hsa-mir-9-5p","hsa-mir-181d-5p",10643,16.4218276310569,16.5138900304054,"""""","""""","""""","""""","""""","""""",""""""
10723,"SLC12A7","hsa-mir-766-3p","hsa-mir-296-5p",0.005,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase","hsa-mir-296-5p","hsa-mir-766-3p",10723,18.135895918355,17.6692524491894,"18.5025914627223","18.3731376628806","17.9087973341466","""""","""""","""""",""""""
10725,"NFAT5","hsa-mir-183-5p","hsa-mir-30b-5p",0.008,TRUE,NA,NA,NA,"tarbase","mirtarbase tarbase","hsa-mir-30b-5p","hsa-mir-183-5p",10725,13.1855628843792,15.6120000681328,"15.1044147090713","15.7192038141097","""""","""""","""""","""""",""""""
10794,"ZNF460","hsa-mir-339-5p","hsa-mir-150-5p",0.002,TRUE,NA,NA,NA,"mirtarbase tarbase","mirtarbase","hsa-mir-150-5p","hsa-mir-339-5p",10794,13.8602939652942,13.6714673673052,"13.7956421408621","14.2066724987394","""""","""""","""""","""""",""""""
10855,"HPSE","hsa-mir-766-3p","hsa-mir-183-5p",0.008,FALSE,NA,NA,NA,"mirtarbase","mirtarbase","hsa-mir-183-5p","hsa-mir-766-3p",10855,15.1312641920373,15.3925920278768,"16.1853020989175","16.0594545709129","16.7113690470867","15.3449133541508","17.6371954201336","""""",""""""
11073,"TOPBP1","hsa-mir-664a-3p","hsa-mir-181c-5p",0.0065,FALSE,NA,NA,NA,"tarbase","mirtarbase","hsa-mir-181c-5p","hsa-mir-664a-3p",11073,18.4661196340305,19.060246520402,"17.1715167029684","18.4213049332401","""""","""""","""""","""""",""""""
11260,"XPOT","hsa-mir-150-5p","hsa-mir-30b-5p",0.0045,FALSE,NA,NA,NA,"mirtarbase","tarbase","hsa-mir-30b-5p","hsa-mir-150-5p",11260,18.5587619649137,18.606989914271,"18.4005173991202","""""","""""","""""","""""","""""",""""""
11273,"ATXN2L","hsa-mir-138-5p","hsa-mir-342-5p",5e-04,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-342-5p","hsa-mir-138-5p",11273,19.7513606573105,19.539384065101,"19.8701357323978","19.6575871524611","""""","""""","""""","""""",""""""
11273,"ATXN2L","hsa-mir-342-5p","hsa-mir-505-5p",0.0045,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-505-5p","hsa-mir-342-5p",11273,19.7513606573105,19.3382070034198,"18.643131050023","19.539384065101","19.8701357323978","19.6575871524611","19.752097963506","""""",""""""
22836,"RHOBTB3","hsa-mir-193b-5p","hsa-mir-342-5p",0.0025,FALSE,NA,NA,NA,"mirtarbase","mirtarbase","hsa-mir-342-5p","hsa-mir-193b-5p",22836,17.02090565985,15.943745937817,"15.6307768538307","16.104928422566","16.0664609735038","15.04696359881","""""","""""",""""""
22836,"RHOBTB3","hsa-mir-342-3p","hsa-mir-342-5p",0.004,FALSE,NA,NA,NA,"mirtarbase","mirtarbase","hsa-mir-342-5p","hsa-mir-342-3p",22836,17.5067942368671,17.02090565985,"15.943745937817","12.7283825439109","16.104928422566","16.7360450792147","14.6817635774322","15.04696359881",""""""
22848,"AAK1","hsa-mir-18a-3p","hsa-mir-106a-5p",0.009,FALSE,NA,NA,NA,"mirtarbase","tarbase","hsa-mir-106a-5p","hsa-mir-18a-3p",22848,14.9584191861311,14.7297312899831,"""""","""""","""""","""""","""""","""""",""""""
22872,"SEC31A","hsa-mir-183-5p","hsa-mir-30b-5p",0.009,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/22474449'>PubMedLink</a>","tarbase","tarbase","hsa-mir-30b-5p","hsa-mir-183-5p",22872,17.4312473900573,18.1543482885244,"18.3108692383768","18.5107058861663","""""","""""","""""","""""",""""""
23022,"PALLD","hsa-mir-106a-5p","hsa-mir-363-3p",0.0065,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-363-3p","hsa-mir-106a-5p",23022,17.7501830980428,18.0782939626793,"16.2915517971657","16.7938532575922","""""","""""","""""","""""",""""""
23082,"PPRC1","hsa-mir-196a-5p","hsa-mir-342-5p",0.0055,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-342-5p","hsa-mir-196a-5p",23082,18.7827470987756,18.7143850203535,"18.9838862180793","""""","""""","""""","""""","""""",""""""
23082,"PPRC1","hsa-mir-505-5p","hsa-mir-342-5p",5e-04,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-342-5p","hsa-mir-505-5p",23082,18.3338452980721,18.3750372571265,"18.0344370746919","18.7827470987756","19.3556487158897","18.4793761347624","18.7143850203535","""""",""""""
23089,"PEG10","hsa-mir-30d-5p","hsa-mir-221-5p",0,FALSE,NA,NA,NA,"mirtarbase tarbase","tarbase","hsa-mir-221-5p","hsa-mir-30d-5p",23089,17.1386065339626,16.4183145943421,"16.0265610761378","16.630354170771","""""","""""","""""","""""",""""""
23119,"HIC2","hsa-mir-505-5p","hsa-mir-296-5p",0.006,TRUE,NA,NA,NA,"tarbase","tarbase","hsa-mir-296-5p","hsa-mir-505-5p",23119,15.7716915676425,15.3455304918563,"15.3547427887389","""""","""""","""""","""""","""""",""""""
23328,"SASH1","hsa-mir-136-5p","hsa-mir-345-5p",5e-04,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29805606'>PubMedLink</a>","tarbase","tarbase","hsa-mir-345-5p","hsa-mir-136-5p",23328,15.1313807181191,16.4331943062868,"15.7582810379404","16.3030132188661","15.2061732221818","""""","""""","""""",""""""
23405,"DICER1","hsa-mir-342-5p","hsa-mir-193b-3p",0.005,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/25195038'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25195038'>PubMedLink</a>","tarbase","tarbase","hsa-mir-193b-3p","hsa-mir-342-5p",23405,17.4339364192851,17.0238394915464,"17.4759775294622","17.7602705586284","16.1830817994733","""""","""""","""""",""""""
23499,"MACF1","hsa-mir-766-3p","hsa-mir-181a-2-3p",0,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-181a-2-3p","hsa-mir-766-3p",23499,17.3171102681878,16.628164176945,"17.1574670116034","16.8754326910689","17.1590043601008","""""","""""","""""",""""""
23603,"CORO1C","hsa-mir-133a-3p","hsa-mir-146a-3p",5e-04,FALSE,NA,NA,NA,"tarbase","mirtarbase","hsa-mir-146a-3p","hsa-mir-133a-3p",23603,19.5894029800576,19.980567710163,"19.279199679639","""""","""""","""""","""""","""""",""""""
