"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","mRNA_pvalue","mRNA_logFC","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18"
10628,"TXNIP","hsa-mir-424-5p","hsa-mir-18a-3p",0,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/12553030'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17671698'>PubMedLink</a>","mirtarbase tarbase","mirtarbase tarbase",0.269328519328892,-0.109471074129654,"hsa-mir-18a-3p","hsa-mir-424-5p",10628,21.8074703303834,22.6522570722473,"21.3331654539897","21.1255360734522","22.6093186382627","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
10855,"HPSE","hsa-mir-1307-3p","hsa-mir-34a-5p",0,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gREAD/25362853'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/15334632'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20193112'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31001480'>PubMedLink</a>","mirtarbase","tarbase",0.397926628141934,-0.098907142819414,"hsa-mir-34a-5p","hsa-mir-1307-3p",10855,15.9609964761211,16.0411386543873,"15.6385819515077","15.8493449821016","16.5806004689348","14.9533594396527","15.2405836205798","15.5628482572579","""""","""""","""""","""""","""""","""""","""""",""""""
11149,"BVES","hsa-mir-34a-5p","hsa-mir-30b-3p",0.006,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gREAD/25362853'>PubMedLink</a>",NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/21911938'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30689807'>PubMedLink</a>","tarbase","mirtarbase",0.00594486008848868,-0.336392429163755,"hsa-mir-30b-3p","hsa-mir-34a-5p",11149,14.770346141284,12.8846391475889,"13.0933161882647","12.9333517386625","13.2360772022816","12.0487615632415","13.9172644885804","12.2282878375059","15.7041466537557","15.2851833656955","""""","""""","""""","""""","""""",""""""
23034,"SAMD4A","hsa-mir-33b-5p","hsa-mir-30b-3p",0.003,FALSE,NA,NA,NA,"tarbase","tarbase",0.168430025454927,-0.163200404239966,"hsa-mir-30b-3p","hsa-mir-33b-5p",23034,16.2380294403599,14.1019102903174,"14.1676032832395","13.5245039974945","16.5694889983889","15.8831973771602","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
23089,"PEG10","hsa-mir-299-3p","hsa-mir-23a-5p",0.0055,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/28028826'>PubMedLink</a>","mirtarbase","tarbase",0.00957266157771345,-0.31674698731405,"hsa-mir-23a-5p","hsa-mir-299-3p",23089,13.8980974762748,15.1213493233783,"12.7889495519276","14.1787664353179","12.8786176957245","12.5263657703695","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
23405,"DICER1","hsa-mir-424-5p","hsa-mir-581",0.0035,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/23441612'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26392389'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28915552'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28991230'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30672147'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30833603'>PubMedLink</a>","tarbase","mirtarbase",0.667377562240195,-0.0490744214171143,"hsa-mir-581","hsa-mir-424-5p",23405,17.3098905530153,17.2600974588578,"16.8542163629748","16.5269162185205","16.4212452799099","16.1709175291057","16.6148996268105","""""","""""","""""","""""","""""","""""","""""","""""",""""""
23405,"DICER1","hsa-mir-499a-5p","hsa-mir-581",0.0045,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/23441612'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26392389'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28915552'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28991230'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30672147'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30833603'>PubMedLink</a>","tarbase","mirtarbase",0.667377562240195,-0.0490744214171143,"hsa-mir-581","hsa-mir-499a-5p",23405,17.3098905530153,17.2600974588578,"16.8542163629748","16.6148996268105","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
23670,"CEMIP2","hsa-mir-125a-3p","hsa-mir-301a-3p",0.009,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gREAD/30362160'>PubMedLink</a>",NA,"tarbase","mirtarbase",0.915931062872781,0.0115563411342122,"hsa-mir-301a-3p","hsa-mir-125a-3p",23670,18.0603001593298,19.4356440037699,"18.6220197362311","19.1093543606015","19.033741108006","18.9064680502378","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
23670,"CEMIP2","hsa-mir-301b-3p","hsa-mir-301a-3p",0.002,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gREAD/30362160'>PubMedLink</a>",NA,"mirtarbase","mirtarbase",0.915931062872781,0.0115563411342122,"hsa-mir-301a-3p","hsa-mir-301b-3p",23670,17.6707601329395,19.066042837899,"19.4356440037699","18.1209987284939","19.1093543606015","18.1420463245127","18.9064680502378","""""","""""","""""","""""","""""","""""","""""","""""",""""""
25923,"ATL3","hsa-mir-486-5p","hsa-mir-224-5p",0.0035,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gREAD/30305607'>PubMedLink</a>",NA,NA,"tarbase","tarbase",0.60932468871698,-0.0563379737126661,"hsa-mir-224-5p","hsa-mir-486-5p",25923,18.6636439211593,17.6718276193929,"18.0259269339385","18.746194015512","18.3784012807313","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
25937,"WWTR1","hsa-mir-29b-3p","hsa-mir-101-5p",5e-04,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/22470139'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23762387'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31782506'>PubMedLink</a>","mirtarbase tarbase","mirtarbase",0.130821066152089,-0.170930051392198,"hsa-mir-101-5p","hsa-mir-29b-3p",25937,17.48271251115,15.9378633181009,"15.7175567001197","16.2511956310071","17.1505622328191","17.3996905951677","16.8887600065532","18.1867827305753","17.1780190980848","""""","""""","""""","""""","""""","""""",""""""
26086,"GPSM1","hsa-mir-188-5p","hsa-mir-18a-5p",0.003,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gREAD/30458288'>PubMedLink</a>",NA,"tarbase","tarbase",0.938000762360012,-0.00943459134687279,"hsa-mir-18a-5p","hsa-mir-188-5p",26086,16.1526520792222,15.1669646687038,"14.2036374584476","15.2915543403084","14.4594987064506","16.2496933813606","15.2159089678331","15.338394267405","14.8023699739473","15.6179603137608","15.087995838046","""""","""""","""""","""""",""""""
26086,"GPSM1","hsa-mir-424-5p","hsa-mir-188-5p",0.0055,FALSE,NA,NA,NA,"tarbase","tarbase",0.938000762360012,-0.00943459134687279,"hsa-mir-188-5p","hsa-mir-424-5p",26086,16.388515999809,16.1526520792222,"16.2496933813606","15.2159089678331","12.4222064867834","15.338394267405","16.0278379680968","""""","""""","""""","""""","""""","""""","""""","""""",""""""
51090,"PLLP","hsa-mir-25-5p","hsa-mir-940",0.001,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gREAD/31114229'>PubMedLink</a>",NA,"mirtarbase","mirtarbase",0.495604252687578,-0.0805287123761657,"hsa-mir-940","hsa-mir-25-5p",51090,16.5498667701855,15.0758656867237,"15.804534231834","15.4287369882402","15.1864030707242","15.6290215335292","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
51421,"AMOTL2","hsa-mir-183-5p","hsa-mir-105-5p",0.003,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gREAD/26462034'>PubMedLink</a>",NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/28441737'>PubMedLink</a>","tarbase","tarbase",0.650991744126687,0.0511116179883417,"hsa-mir-105-5p","hsa-mir-183-5p",51421,17.679064085259,18.1610120649568,"17.5219850419592","18.2501671970695","17.4191212846909","18.042203249469","18.1422670883957","17.8699284039965","17.5707938373954","""""","""""","""""","""""","""""","""""",""""""
54941,"RNF125","hsa-mir-1228-3p","hsa-mir-940",5e-04,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gREAD/31114229'>PubMedLink</a>",NA,"mirtarbase","mirtarbase",0.0855309541897283,-0.201931342867311,"hsa-mir-940","hsa-mir-1228-3p",54941,15.1918170009409,14.754436638006,"16.1014927574525","15.0994300250374","14.5757681493618","13.8935733004549","15.4267423938506","13.0042233558336","14.8203726717951","""""","""""","""""","""""","""""","""""",""""""
55326,"AGPAT5","hsa-mir-29c-3p","hsa-mir-605-5p",5e-04,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gREAD/29262657'>PubMedLink</a>",NA,NA,"tarbase","tarbase",0.980026349009389,0.00277526067246928,"hsa-mir-605-5p","hsa-mir-29c-3p",55326,18.1080460058213,17.6542854908081,"16.7486572674847","18.1068284766818","16.7739516564532","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
55704,"CCDC88A","hsa-mir-101-5p","hsa-mir-33b-5p",0.0035,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/20974669'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22714912'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29665309'>PubMedLink</a>","mirtarbase","tarbase",0.262702128775975,-0.13862342375104,"hsa-mir-33b-5p","hsa-mir-101-5p",55704,15.6013999675958,13.4991039544367,"13.1003256228919","15.5905761481089","13.7512096215888","15.0789288147859","15.1639984132503","""""","""""","""""","""""","""""","""""","""""","""""",""""""
56479,"KCNQ5","hsa-mir-543","hsa-mir-301b-3p",0.003,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gREAD/26968810'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gREAD/28938633'>PubMedLink</a>",NA,NA,"mirtarbase","tarbase",0.00421960988522986,-0.749789297232729,"hsa-mir-301b-3p","hsa-mir-543",56479,6.54043531788108,8.54531486189618,"12.4876018881722","9.53547542611112","10.1815108846285","11.473125015111","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
57214,"CEMIP","hsa-mir-29c-3p","hsa-mir-7-5p",0.0015,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gREAD/29262657'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gREAD/30867755'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gREAD/31295229'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/28213952'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29024602'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29173982'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29776371'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29915160'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30202098'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31011255'>PubMedLink</a>","tarbase","tarbase",0.0002666586491048,0.436101278252842,"hsa-mir-7-5p","hsa-mir-29c-3p",57214,21.1310663077444,20.1930213086856,"19.6008586880029","17.5948678448364","19.2798930727221","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
57608,"JCAD","hsa-mir-34a-5p","hsa-mir-301a-3p",0.004,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gREAD/25362853'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gREAD/30362160'>PubMedLink</a>",NA,"tarbase","tarbase",0.074946376698309,-0.204736377405789,"hsa-mir-301a-3p","hsa-mir-34a-5p",57608,16.814564114985,16.7523456827024,"15.3081197738702","14.4879255777467","14.8193391908779","13.337324597191","15.3353829682502","15.1971749899072","17.3595270151171","""""","""""","""""","""""","""""","""""",""""""
57713,"SFMBT2","hsa-mir-616-3p","hsa-mir-423-3p",0.005,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gREAD/26402653'>PubMedLink</a>",NA,"mirtarbase","mirtarbase",0.320263712046399,-0.125236729015578,"hsa-mir-423-3p","hsa-mir-616-3p",57713,14.5140908230492,14.4345959164764,"14.1919410204982","12.3489992743699","15.178286400832","14.5766857869495","14.3341310116659","13.7836608794532","""""","""""","""""","""""","""""","""""","""""",""""""
57713,"SFMBT2","hsa-mir-616-3p","hsa-mir-940",0.0025,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gREAD/31114229'>PubMedLink</a>",NA,"mirtarbase","mirtarbase",0.320263712046399,-0.125236729015578,"hsa-mir-940","hsa-mir-616-3p",57713,14.5140908230492,14.6610531351367,"14.4345959164764","14.1919410204982","14.5766857869495","14.3341310116659","13.7836608794532","14.2330903828785","""""","""""","""""","""""","""""","""""","""""",""""""
79026,"AHNAK","hsa-mir-1226-3p","hsa-mir-486-3p",0.006,FALSE,NA,NA,NA,"tarbase","tarbase",0.107454680228185,-0.167183738905666,"hsa-mir-486-3p","hsa-mir-1226-3p",79026,20.2391780430945,20.4680393667814,"19.1264193573788","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
84133,"ZNRF3","hsa-mir-454-5p","hsa-mir-940",0.005,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gREAD/31114229'>PubMedLink</a>",NA,"tarbase","mirtarbase",0.241963714167333,0.168914809425362,"hsa-mir-940","hsa-mir-454-5p",84133,11.2633487268857,11.8051374477817,"9.34038039645579","11.6080905037589","10.8391594696122","11.7837608563697","11.1753740254664","8.71682003782494","9.13375740572867","12.0091424836217","""""","""""","""""","""""","""""",""""""
85463,"ZC3H12C","hsa-mir-18b-5p","hsa-mir-552-3p",0.0095,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gREAD/30458288'>PubMedLink</a>",NA,NA,"tarbase","tarbase",0.10840682522323,-0.191828951098291,"hsa-mir-552-3p","hsa-mir-18b-5p",85463,13.8595097717032,14.7781334980047,"14.8155122783479","15.7092175243137","12.9465968762001","15.0622822184202","13.6809853986191","""""","""""","""""","""""","""""","""""","""""","""""",""""""
85463,"ZC3H12C","hsa-mir-550a-3p","hsa-mir-33a-3p",0.0055,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.10840682522323,-0.191828951098291,"hsa-mir-33a-3p","hsa-mir-550a-3p",85463,13.8595097717032,15.7092175243137,"14.5179874976271","13.4506532898797","15.2943680421341","12.0235740135329","15.0622822184202","13.7311571954079","14.9960240984052","13.6809853986191","""""","""""","""""","""""","""""",""""""
91748,"MIDEAS","hsa-mir-616-3p","hsa-mir-196b-5p",5e-04,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gREAD/28591704'>PubMedLink</a>",NA,"tarbase","tarbase",0.530715497487926,-0.0718976911306368,"hsa-mir-196b-5p","hsa-mir-616-3p",91748,16.1920587464353,17.1101208090895,"16.4981038330098","16.5008087842624","16.6424306198869","15.9807797584313","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
120114,"FAT3","hsa-mir-425-5p","hsa-mir-301b-3p",0.0025,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gREAD/28177881'>PubMedLink</a>",NA,NA,"tarbase","tarbase",0.158831575130609,-0.217102398818623,"hsa-mir-301b-3p","hsa-mir-425-5p",120114,10.5370839589605,8.88901616631681,"8.75414458381396","10.195916795243","11.8269545124076","9.00288611765934","7.05146753698541","9.8132706421301","11.4955503558535","10.9504111735814","""""","""""","""""","""""","""""",""""""
124583,"CANT1","hsa-mir-224-5p","hsa-mir-7-5p",0.009,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gREAD/30867755'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gREAD/31295229'>PubMedLink</a>",NA,"tarbase","mirtarbase tarbase",0.742075236319396,-0.0339107483674539,"hsa-mir-7-5p","hsa-mir-224-5p",124583,19.672791063225,20.8378910816995,"20.841260334096","20.418244542249","21.5610275862097","19.8600323014626","20.8184664618477","""""","""""","""""","""""","""""","""""","""""","""""",""""""
126231,"ZNF573","hsa-mir-30b-3p","hsa-mir-186-3p",0.0045,TRUE,NA,NA,NA,"mirtarbase","mirtarbase",0.854198313735113,-0.023957412128878,"hsa-mir-186-3p","hsa-mir-30b-3p",126231,12.2230325584964,13.2246170565081,"13.0846216379895","14.9163295145764","13.8648574733504","12.5603290009857","12.553150468474","""""","""""","""""","""""","""""","""""","""""","""""",""""""
154810,"AMOTL1","hsa-mir-556-5p","hsa-mir-301a-3p",0.0025,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gREAD/30362160'>PubMedLink</a>",NA,"tarbase","tarbase",0.0588139454694989,-0.218056923570037,"hsa-mir-301a-3p","hsa-mir-556-5p",154810,15.5721273878589,14.5517536594424,"14.8925081824117","14.9039854008494","15.868103512721","15.4602090317355","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
253461,"ZBTB38","hsa-mir-7-5p","hsa-mir-323a-3p",0.001,TRUE,"<a href='https://pubmed.ncbi.nlm.nih.gREAD/30867755'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gREAD/31295229'>PubMedLink</a>",NA,NA,"tarbase","tarbase",0.874379141379388,-0.0175498646116216,"hsa-mir-323a-3p","hsa-mir-7-5p",253461,17.7150238618903,18.5172684141592,"19.127650098994","17.5197901800632","18.897049158624","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
253461,"ZBTB38","hsa-mir-760","hsa-mir-301b-3p",0.0085,TRUE,"<a href='https://pubmed.ncbi.nlm.nih.gREAD/28618945'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gREAD/29661228'>PubMedLink</a>",NA,NA,"tarbase","tarbase",0.874379141379388,-0.0175498646116216,"hsa-mir-301b-3p","hsa-mir-760",253461,18.5976724035039,18.4614634762647,"18.7223348404907","17.5197901800632","18.7579670618377","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
445815,"PALM2AKAP2","hsa-mir-1296-5p","hsa-mir-188-5p",0.005,FALSE,NA,NA,NA,"tarbase","tarbase",0.973184846183783,-0.00721862084919796,"hsa-mir-188-5p","hsa-mir-1296-5p",445815,10.6156244670809,10.5019749148908,"9.66960825813502","11.027609044606","10.1047444854222","11.3355209550321","8.54562742091673","11.2878786237351","10.6244570719944","""""","""""","""""","""""","""""","""""",""""""
