source;target
mir-221-5p;mir-221-5p/mir-144-3p
let-7c-5p;let-7c-5p/mir-483-3p
mir-326;mir-326/mir-193b-5p
mir-939-5p;mir-939-5p/mir-106a-5p
mir-20b-5p;mir-20b-5p/mir-20a-5p
mir-30c-2-3p;mir-30c-2-3p/mir-7-5p
mir-136-5p;mir-136-5p/mir-127-5p
mir-130a-5p;mir-130a-5p/mir-148a-5p
mir-19b-3p;mir-19b-3p/mir-223-5p
mir-320b;mir-320b/mir-144-3p
mir-3615;mir-3615/mir-335-5p
mir-940;mir-940/mir-19b-3p
mir-9-3p;mir-9-3p/mir-130a-3p
mir-642a-5p;mir-642a-5p/mir-7-1-3p
mir-651-5p;mir-651-5p/mir-215-5p
mir-129-5p;mir-129-5p/mir-188-5p
mir-296-5p;mir-296-5p/mir-126-5p
mir-130b-5p;mir-130b-5p/mir-505-3p
mir-3065-3p;mir-3065-3p/mir-30a-5p
mir-144-3p;mir-221-5p/mir-144-3p
mir-483-3p;let-7c-5p/mir-483-3p
mir-193b-5p;mir-326/mir-193b-5p
mir-106a-5p;mir-939-5p/mir-106a-5p
mir-20a-5p;mir-20b-5p/mir-20a-5p
mir-7-5p;mir-30c-2-3p/mir-7-5p
mir-127-5p;mir-136-5p/mir-127-5p
mir-148a-5p;mir-130a-5p/mir-148a-5p
mir-223-5p;mir-19b-3p/mir-223-5p
mir-144-3p;mir-320b/mir-144-3p
mir-335-5p;mir-3615/mir-335-5p
mir-19b-3p;mir-940/mir-19b-3p
mir-130a-3p;mir-9-3p/mir-130a-3p
mir-7-1-3p;mir-642a-5p/mir-7-1-3p
mir-215-5p;mir-651-5p/mir-215-5p
mir-188-5p;mir-129-5p/mir-188-5p
mir-126-5p;mir-296-5p/mir-126-5p
mir-505-3p;mir-130b-5p/mir-505-3p
mir-30a-5p;mir-3065-3p/mir-30a-5p
mir-221-5p/mir-144-3p;SLC7A2
let-7c-5p/mir-483-3p;SREBF1
mir-326/mir-193b-5p;BMP7
mir-939-5p/mir-106a-5p;SLC6A4
mir-20b-5p/mir-20a-5p;SLC6A4
mir-30c-2-3p/mir-7-5p;PTK7
mir-136-5p/mir-127-5p;STC2
mir-130a-5p/mir-148a-5p;SEMA6D
mir-19b-3p/mir-223-5p;PCDH10
mir-320b/mir-144-3p;GREB1L
mir-3615/mir-335-5p;CACNG8
mir-940/mir-19b-3p;PALM2AKAP2
mir-9-3p/mir-130a-3p;STC1
mir-642a-5p/mir-7-1-3p;VANGL2
mir-651-5p/mir-215-5p;GATM
mir-129-5p/mir-188-5p;SLITRK4
mir-296-5p/mir-126-5p;ZNF703
mir-130b-5p/mir-505-3p;MYBPC1
mir-3065-3p/mir-30a-5p;PEG10