"info","name","selected","shared.name","visname"
"mirna","miR-20a-5p","false","miR-20a-5p","miR-20a-5p"
"dummy","miR-20a-5p/miR-17-5p","false","miR-20a-5p/miR-17-5p",""
"mirna","miR-342-3p","false","miR-342-3p","miR-342-3p"
"dummy","miR-342-3p/miR-7-5p","false","miR-342-3p/miR-7-5p",""
"mirna","miR-642a-5p","false","miR-642a-5p","miR-642a-5p"
"dummy","miR-642a-5p/miR-615-3p","false","miR-642a-5p/miR-615-3p",""
"mirna","miR-940","false","miR-940","miR-940"
"dummy","miR-940/miR-221-5p","false","miR-940/miR-221-5p",""
"mirna","miR-500a-5p","false","miR-500a-5p","miR-500a-5p"
"dummy","miR-500a-5p/miR-95-3p","false","miR-500a-5p/miR-95-3p",""
"mirna","miR-196b-5p","false","miR-196b-5p","miR-196b-5p"
"dummy","miR-196b-5p/miR-301a-3p","false","miR-196b-5p/miR-301a-3p",""
"mirna","miR-204-5p","false","miR-204-5p","miR-204-5p"
"dummy","miR-204-5p/miR-485-5p","false","miR-204-5p/miR-485-5p",""
"mirna","miR-570-3p","false","miR-570-3p","miR-570-3p"
"dummy","miR-570-3p/miR-135a-5p","false","miR-570-3p/miR-135a-5p",""
"mirna","miR-93-5p","false","miR-93-5p","miR-93-5p"
"dummy","miR-93-5p/miR-17-5p","false","miR-93-5p/miR-17-5p",""
"mirna","miR-103a-2-5p","false","miR-103a-2-5p","miR-103a-2-5p"
"dummy","miR-103a-2-5p/miR-19a-3p","false","miR-103a-2-5p/miR-19a-3p",""
"mirna","miR-125b-2-3p","false","miR-125b-2-3p","miR-125b-2-3p"
"dummy","miR-125b-2-3p/miR-378a-3p","false","miR-125b-2-3p/miR-378a-3p",""
"mirna","miR-224-5p","false","miR-224-5p","miR-224-5p"
"dummy","miR-224-5p/miR-452-3p","false","miR-224-5p/miR-452-3p",""
"mirna","miR-19a-3p","false","miR-19a-3p","miR-19a-3p"
"dummy","miR-19a-3p/miR-103a-2-5p","false","miR-19a-3p/miR-103a-2-5p",""
"mirna","miR-381-3p","false","miR-381-3p","miR-381-3p"
"dummy","miR-381-3p/miR-379-5p","false","miR-381-3p/miR-379-5p",""
"mirna","miR-432-5p","false","miR-432-5p","miR-432-5p"
"dummy","miR-432-5p/miR-410-3p","false","miR-432-5p/miR-410-3p",""
"mirna","miR-155-5p","false","miR-155-5p","miR-155-5p"
"dummy","miR-155-5p/miR-362-3p","false","miR-155-5p/miR-362-3p",""
"mirna","miR-335-5p","false","miR-335-5p","miR-335-5p"
"dummy","miR-335-5p/miR-3150b-3p","false","miR-335-5p/miR-3150b-3p",""
"mirna","miR-20a-3p","false","miR-20a-3p","miR-20a-3p"
"dummy","miR-20a-3p/miR-196a-5p","false","miR-20a-3p/miR-196a-5p",""
"mirna","miR-149-5p","false","miR-149-5p","miR-149-5p"
"dummy","miR-149-5p/miR-1180-3p","false","miR-149-5p/miR-1180-3p",""
"mirna","miR-500b-5p","false","miR-500b-5p","miR-500b-5p"
"dummy","miR-500b-5p/miR-582-5p","false","miR-500b-5p/miR-582-5p",""
"mirna","miR-424-5p","false","miR-424-5p","miR-424-5p"
"dummy","miR-424-5p/miR-940","false","miR-424-5p/miR-940",""
"mirna","miR-19b-1-5p","false","miR-19b-1-5p","miR-19b-1-5p"
"dummy","miR-19b-1-5p/miR-19a-3p","false","miR-19b-1-5p/miR-19a-3p",""
"dummy","miR-19b-1-5p/miR-20a-5p","false","miR-19b-1-5p/miR-20a-5p",""
"mirna","miR-455-3p","false","miR-455-3p","miR-455-3p"
"dummy","miR-455-3p/miR-651-5p","false","miR-455-3p/miR-651-5p",""
"dummy","miR-19a-3p/miR-20a-5p","false","miR-19a-3p/miR-20a-5p",""
"mirna","miR-17-5p","false","miR-17-5p","miR-17-5p"
"mirna","miR-7-5p","false","miR-7-5p","miR-7-5p"
"mirna","miR-615-3p","false","miR-615-3p","miR-615-3p"
"mirna","miR-221-5p","false","miR-221-5p","miR-221-5p"
"mirna","miR-95-3p","false","miR-95-3p","miR-95-3p"
"mirna","miR-301a-3p","false","miR-301a-3p","miR-301a-3p"
"mirna","miR-485-5p","false","miR-485-5p","miR-485-5p"
"mirna","miR-135a-5p","false","miR-135a-5p","miR-135a-5p"
"mirna","miR-378a-3p","false","miR-378a-3p","miR-378a-3p"
"mirna","miR-452-3p","false","miR-452-3p","miR-452-3p"
"mirna","miR-379-5p","false","miR-379-5p","miR-379-5p"
"mirna","miR-410-3p","false","miR-410-3p","miR-410-3p"
"mirna","miR-362-3p","false","miR-362-3p","miR-362-3p"
"mirna","miR-3150b-3p","false","miR-3150b-3p","miR-3150b-3p"
"mirna","miR-196a-5p","false","miR-196a-5p","miR-196a-5p"
"mirna","miR-1180-3p","false","miR-1180-3p","miR-1180-3p"
"mirna","miR-582-5p","false","miR-582-5p","miR-582-5p"
"mirna","miR-651-5p","false","miR-651-5p","miR-651-5p"
"mrna","CD38","false","CD38","CD38"
"mrna","FSTL1","false","FSTL1","FSTL1"
"mrna","GTF3C4","false","GTF3C4","GTF3C4"
"mrna","GPSM1","false","GPSM1","GPSM1"
"mrna","CCND1","false","CCND1","CCND1"
"mrna","PRUNE2","false","PRUNE2","PRUNE2"
"mrna","CD4","false","CD4","CD4"
"mrna","APP","false","APP","APP"
"mrna","RBP1","false","RBP1","RBP1"
"mrna","PCDH10","false","PCDH10","PCDH10"
"mrna","ZFP36L2","false","ZFP36L2","ZFP36L2"
"mrna","TNC","false","TNC","TNC"
"mrna","IRF4","false","IRF4","IRF4"
"mrna","IFNLR1","false","IFNLR1","IFNLR1"
"mrna","SOD2","false","SOD2","SOD2"
"mrna","ALDH1A2","false","ALDH1A2","ALDH1A2"
"mrna","CACNA1B","false","CACNA1B","CACNA1B"
"mrna","AQP3","false","AQP3","AQP3"
"mrna","DOCK4","false","DOCK4","DOCK4"
"mrna","GPRC5A","false","GPRC5A","GPRC5A"
"mrna","ADAMTS1","false","ADAMTS1","ADAMTS1"
"mrna","NRXN3","false","NRXN3","NRXN3"
"mrna","BMP2","false","BMP2","BMP2"
